,IN_1_CheckIn_Planned_Mins,IN_1_CheckIn_Effective_Mins,IN_1_Dep_Seg1_Planned_Mins,IN_1_Dep_Seg1_Effective_Mins,IN_1_Arr_Seg1_Planned_Mins,IN_1_Arr_Seg1_Effective_Mins,IN_1_Dep_Seg2_Planned_Mins,IN_1_Dep_Seg2_Effective_Mins,IN_1_Arr_Seg2_Planned_Mins,IN_1_Arr_Seg2_Effective_Mins,IN_1_Dep_Seg3_Planned_Mins,IN_1_Dep_Seg3_Effective_Mins,IN_1_Arr_Seg3_Planned_Mins,IN_1_Arr_Seg3_Effective_Mins,IN_1_Delivery_Planned_Mins,IN_1_Delivery_Effective_Mins,IN_2_CheckIn_Planned_Mins,IN_2_CheckIn_Effective_Mins,IN_2_Dep_Seg1_Planned_Mins,IN_2_Dep_Seg1_Effective_Mins,IN_2_Arr_Seg1_Planned_Mins,IN_2_Arr_Seg1_Effective_Mins,IN_2_Dep_Seg2_Planned_Mins,IN_2_Dep_Seg2_Effective_Mins,IN_2_Arr_Seg2_Planned_Mins,IN_2_Arr_Seg2_Effective_Mins,IN_2_Dep_Seg3_Planned_Mins,IN_2_Dep_Seg3_Effective_Mins,IN_2_Arr_Seg3_Planned_Mins,IN_2_Arr_Seg3_Effective_Mins,IN_2_Delivery_Planned_Mins,IN_2_Delivery_Effective_Mins,IN_3_CheckIn_Planned_Mins,IN_3_CheckIn_Effective_Mins,IN_3_Dep_Seg1_Planned_Mins,IN_3_Dep_Seg1_Effective_Mins,IN_3_Arr_Seg1_Planned_Mins,IN_3_Arr_Seg1_Effective_Mins,IN_3_Dep_Seg2_Planned_Mins,IN_3_Dep_Seg2_Effective_Mins,IN_3_Arr_Seg2_Planned_Mins,IN_3_Arr_Seg2_Effective_Mins,IN_3_Dep_Seg3_Planned_Mins,IN_3_Dep_Seg3_Effective_Mins,IN_3_Arr_Seg3_Planned_Mins,IN_3_Arr_Seg3_Effective_Mins,IN_3_Delivery_Planned_Mins,IN_3_Delivery_Effective_Mins,OUT_CheckIn_Planned_Mins,OUT_CheckIn_Effective_Mins,OUT_Dep_Seg1_Planned_Mins,OUT_Dep_Seg1_Effective_Mins,OUT_Dep_Seg1_Hub_ID,OUT_Arr_Seg1_Planned_Mins,OUT_Arr_Seg1_Effective_Mins,OUT_Arr_Seg1_Hub_ID,OUT_Dep_Seg2_Planned_Mins,OUT_Dep_Seg2_Effective_Mins,OUT_Dep_Seg2_Hub_ID,OUT_Arr_Seg2_Planned_Mins,OUT_Arr_Seg2_Effective_Mins,OUT_Arr_Seg2_Hub_ID,OUT_Dep_Seg3_Planned_Mins,OUT_Dep_Seg3_Effective_Mins,OUT_Dep_Seg3_Hub_ID,OUT_Arr_Seg3_Planned_Mins,OUT_Arr_Seg3_Effective_Mins,OUT_Arr_Seg3_Hub_ID,OUT_Delivery_Planned_Mins,OUT_Delivery_Effective_Mins,OUT_Hops
IN_1_CheckIn_Planned_Mins,1.0,0.9888570789423398,-0.07841800818381804,0.24152340732458835,0.24194694002234315,0.12333819121915768,0.041040601197150764,0.03941343087297296,0.036109211748618676,0.019438761959705803,-0.007878710741146726,-0.0067484769170509905,-0.010229107627779588,-0.011357981701539697,-0.06341447103914405,0.014163272333633951,0.0716964520537785,0.06753961994853787,-0.0439407029866916,0.030041790071493105,0.0620343341230589,0.05318918002239123,0.01165513214355937,0.009876527292122081,-0.009645941119042222,-0.011939057176468629,-0.002815979729642687,-0.0026232326345676455,-0.003375661487994977,-0.0011277745677060406,-0.015276367993506535,2.0128183113752498e-05,0.08717863848886967,0.0881160544789338,-0.03117917066600203,0.011997558620752895,0.03534127403063374,0.0286918966351623,-0.024533044435759967,-0.020744947496498505,-0.022790895712586176,-0.028742171479431547,-0.008534158530919357,-0.009590253032305528,-0.00674414337119328,-0.008932000546928578,-0.020276017269471567,-0.01927563309935014,-0.01869748628727606,-0.01372712802405757,-0.009858700676257099,-0.035608453077614774,0.026089764908323137,0.0577015638223155,0.009298903892467661,-0.005041243578903808,-0.044947073385639504,-0.044200386317053995,-0.03467896371098232,-0.03788816342083032,-0.046819103734417854,-0.03893493457109848,0.012242089013173623,0.016535664229615492,-0.003704226300832837,0.024013310029413926,0.007918506325600363,-0.0023752498235207094,-0.057758186622977575,-0.0012804393732189724,-0.052836993046354294
IN_1_CheckIn_Effective_Mins,0.9888570789423398,1.0,-0.07591185908995358,0.10758233773778876,0.21073543427168084,0.10413986812063028,0.04613508133887809,0.0429275925348131,0.03898164969803762,0.023099450940642238,-0.0062462267693183535,-0.004972952510970834,-0.008440918622821706,-0.00978756663137744,-0.06456569343323738,0.01172663055280523,0.06336649350730932,0.06036330404753288,-0.04471548525502523,0.020789867346270623,0.050759589913665026,0.042834337798416104,0.008657579827572313,0.006684078970783339,-0.013904262763834179,-0.015937117076145427,-0.002463728862290118,-0.0021682739240931506,-0.00269723720496722,-0.0009437304298675481,-0.019663914274251248,-0.0023314416865084044,0.08023359071148949,0.08156693466376197,-0.029262912328184235,0.008237168399804476,0.029552215996969083,0.024106275691819036,-0.025658712917227242,-0.02142452489308622,-0.02343113924553803,-0.029191206368151573,-0.006871066883866927,-0.008179867486826644,-0.007532138491380299,-0.007465538271739354,-0.024673750678145163,-0.020588157116760323,-0.022115792286207612,-0.016690041959821485,-0.00885290982505806,-0.038776249561549465,0.021716314292123687,0.05105615398227771,0.0058709861006556235,-0.00707533062171542,-0.04415413457781527,-0.04337097885669617,-0.03464282253421789,-0.03896522235562932,-0.04564120132317272,-0.040656325657892324,0.015695181178167462,0.019744250057708315,-0.0003461594370509741,0.02784066157757199,0.011701746539587351,0.0005830004884131305,-0.05162748996083359,-0.0014247130566709734,-0.0517324894755513
IN_1_Dep_Seg1_Planned_Mins,-0.07841800818381804,-0.07591185908995358,1.0,0.15875468345058166,0.025420088248921877,0.06265445667785718,0.02375031388503272,0.02993260962917871,0.019649637609917475,0.025183725842645468,0.008644635751385799,0.009219703838758218,0.031028694396232116,0.031998336713803706,-0.273098220823224,0.015415878280248435,-0.03469270457283468,-0.03635065408812524,0.13431582464961908,0.028254461464770685,0.005266240567872038,0.03058780063687807,0.04322300518489066,0.05250244565485111,0.015533825661552083,0.00685057756706986,0.017290548586385752,0.014040850941889789,0.020577874881395633,0.024938741155225985,-0.05674212794924283,0.0020078696677242524,-0.04643471948935613,-0.045279989407195874,0.0960321025205833,0.004209755931638067,-0.025766635018694528,-0.006106961401332854,0.04046997874732437,0.036660443654676474,0.019264864063811286,0.02189589812564908,-0.00340497229817075,-0.0012958567491229088,0.032297190568074514,0.035702503803228175,-0.045706373793253055,0.01014040517666191,0.027786275048962628,0.020387268126610875,0.1502321523861574,0.06416018862298772,-0.06893643039640034,-0.0014887928062869333,0.05395144024046944,-0.015925252080776726,0.04753067006697287,0.04240824480519699,0.04006489829313266,0.05902062550946658,0.06396237582703054,0.06000452643311066,0.0020526108168209332,0.004939032895114666,-0.0016927904579848564,-0.007365696343378722,-0.006255664068060317,-0.003144504046912499,-0.08226020503800821,0.005782956887505065,0.06358584588301294
IN_1_Dep_Seg1_Effective_Mins,0.24152340732458835,0.10758233773778876,0.15875468345058166,1.0,0.26634162622720553,0.13541222482370224,-0.009945296929167418,-0.0206503266550896,-0.02386788070055156,-0.028143850880648875,-0.011108785794489047,-0.011504459747051655,-0.008814390894584287,-0.006955307349934262,-0.0486202694768013,0.03343765745438548,0.06052754439186835,0.05190122464054425,0.02062543157864043,0.07085629340024494,0.07623772127028129,0.0744788287885851,0.024305498814769844,0.02733288777877779,0.021500320505583544,0.01753061374124545,-0.00862861637324749,-0.007965046376671158,-0.012496819639060065,-0.0017033943043150163,0.012127472721551366,0.017464231389348578,0.05668804228860828,0.05444402598714162,-0.0014815481822383879,0.028898771305743417,0.042287893486077026,0.03811674217478118,0.008704989544996423,0.005257114696975638,0.0014597163589182406,0.00035840670375068313,-0.013007295782428782,-0.010831444463950847,0.012259656993194343,-0.002818952053874236,0.012644607428895567,0.006810701735969105,0.0186887307228019,0.013748609990712634,0.02833849378743326,0.03050342597826838,0.021630564107136596,0.055992247064183015,0.032040396547610865,0.006033060637103223,-0.006490305528972386,-0.0046293420877760545,-0.0014620181091367585,0.009991714489587217,-0.006746346536543702,0.011239217153698265,-0.018828928993436005,-0.015701187707309522,-0.01686222568952739,-0.016676893563565075,-0.017661943754110558,-0.018177244279018005,-0.07156636889113074,0.004091323960062521,-0.009574533895200287
IN_1_Arr_Seg1_Planned_Mins,0.24194694002234315,0.21073543427168084,0.025420088248921877,0.26634162622720553,1.0,0.43511403837710483,0.043556679418101464,0.06081047141503198,0.012022411868726067,0.00664661275332182,0.006061607882504028,0.008083725826195721,0.01339467243694889,0.007006480172994083,-0.2140254774642399,0.005976197888562462,0.09554518536930033,0.08433038779832468,-0.030135106402987673,0.08611691280894572,0.13461120117415476,0.12135712644808602,-0.004572431205754174,-0.001868019678202937,0.026281042963175516,0.0009859393985984586,-0.004568247500369503,-0.010695517551411408,-0.010709386153304358,-0.0015413082099615604,-0.03838516990911268,-0.0059461382585524174,0.059123558633412655,0.05566276728615624,-0.01935159319192431,0.03265362188276155,0.09118398459049636,0.08179337311673497,-0.024352161401821407,-0.022594568406424452,-5.235720127805027e-06,-0.005544307937738827,-0.001990952375077137,-0.0024661895245205122,0.004527677404287109,-0.00023501892125691605,-0.034027666538543805,0.0005658392926999525,0.02965639776686407,0.03027097562926949,-0.014041797159559609,-0.0048061588125011545,0.14918837580545605,0.08791909706780435,0.03096520600224385,0.025502924409202262,-0.05106715314635431,-0.059876814175350186,-0.050435553896927124,-0.050034516996756005,-0.044713404498584186,-0.08162359645361675,-0.011664818766752834,-0.004244092220316579,-0.028920212921886904,-0.029665542064087003,-0.03163402846961793,-0.029135078702737228,-0.07341705457833311,-0.004501731688117377,-0.108339885319711
IN_1_Arr_Seg1_Effective_Mins,0.12333819121915768,0.10413986812063028,0.06265445667785718,0.13541222482370224,0.43511403837710483,1.0,0.07324598247785181,0.034548313151858426,0.009874445381285568,0.008391992043849213,-0.004559525223199122,-0.004619832377799236,-0.004768744526721929,-0.005141778397707294,-0.1402161404443056,0.0001710565159506966,0.039799427491651385,0.03583226850370881,0.013520740307654312,0.0372423314672669,0.06611456275218512,0.06579022593794433,-0.009962646526815583,-0.007990856526832424,0.016847535901073973,0.005380391180674515,-0.00014159817990594195,-0.002934257973765863,-0.0021310734700818366,-0.002709375058539028,-0.019155003239579183,-0.005648930521755559,0.017644688514826028,0.017848618804733735,-0.011122747928821486,0.0011262617428907066,0.024718172067768385,0.030028783498749777,-0.021666059950041075,-0.02363302867026202,-0.012406158802672712,-0.01173600914076525,-0.003960154527461761,-0.004909567889064724,0.0006970507424620876,-0.0018701386854643098,-0.029378603890696027,0.00023416978683732587,0.03436043130878983,0.027148919385238612,-0.01296404977248648,0.044144346419609785,0.02601238944485441,0.05032439831158988,0.026742734474708162,-0.011181520568141527,-0.036210216954921236,-0.041251966660834596,-0.04160895526775625,-0.04728916420226734,-0.040311177958171115,-0.04775247650497256,-0.005214068718983972,-0.0027375591514261295,-0.01351613826254165,-0.015094535454631158,-0.016814213790653208,-0.012816269510788018,-0.041993814962821355,-0.002441461304217621,-0.06380179309359459
IN_1_Dep_Seg2_Planned_Mins,0.041040601197150764,0.04613508133887809,0.02375031388503272,-0.009945296929167418,0.043556679418101464,0.07324598247785181,1.0,0.9490336993680991,0.562350309841025,0.5410482788547832,0.008513474320087845,0.0022158573353035266,0.03993628840393398,0.04450209381450393,-0.025422337634015767,0.08451246769839184,0.009613612235036805,0.010781043460179622,0.006618542275936547,-0.005186231725137237,-0.008156785404055398,0.00893984564819761,0.13228933077358404,0.13634181751285157,0.1469803549272187,0.12769996226893815,0.008931339530533364,0.008429589189856831,0.031072630206747897,0.02222509754616523,-0.006637596842409622,0.00800696361364768,-0.0037969198710854075,-0.006896615283912764,0.014651904573162499,0.018869088254564584,-0.0014574593139452501,2.297640141116826e-05,0.10841950563525071,0.11890395638682642,0.10883113672369922,0.09726533885365089,-0.010685109046788014,-0.011109819857011915,-0.0051564499588176195,-0.0030142984357820566,0.0074085657602685935,0.015362015718690196,0.014595843679603709,0.021407335875652404,0.05307666684721122,-0.026594795568879018,-0.033103875465578386,-0.045129625837303955,0.00913410347856762,-0.025839460716199667,0.07720250507284257,0.08215619848317557,0.11527127211286727,0.14023486287941497,0.12902674715431967,0.12892688804505875,0.034788748641808934,0.025255881552665473,0.033192892852767435,0.03690915961706927,0.0241164238918103,0.03068271546727635,-0.07493235025589977,0.009293959339315287,0.16372623228320515
IN_1_Dep_Seg2_Effective_Mins,0.03941343087297296,0.0429275925348131,0.02993260962917871,-0.0206503266550896,0.06081047141503198,0.034548313151858426,0.9490336993680991,1.0,0.60837486379807,0.5721918297043062,0.024678545792043996,0.02030016291565133,0.059475222592643914,0.05972737600439933,-0.03702958816034986,0.07883843207570684,0.006014264965106678,0.00688007476981581,0.004943720549745473,-0.005439232435979797,-0.00628252322575652,0.010791219981070207,0.13570111755214262,0.1426867151964773,0.14751684595728462,0.12555080988769496,0.01833646485641893,0.014759200481599257,0.04099686038348818,0.031234307609591585,-0.01300618754564708,0.013004788643690866,-0.002116042823353076,-0.00530623821110978,0.009516123617863347,0.019122766757452638,-0.006943418541358474,-0.0031098900071872514,0.11252563115938069,0.12124806774602782,0.11338377006011181,0.10185413401044924,-0.010238491826642018,-0.0107950162109399,-0.007254426359491955,-0.005786681405216898,0.003622005422498272,0.01240834738236784,0.015447751659015983,0.02186038104689106,0.05977311786935124,-0.019860259394058413,-0.03318700687611324,-0.04105335427590134,0.017471039323565543,-0.015064886031561652,0.07947643219234271,0.08250980370037962,0.12397169589805672,0.14341088085495535,0.1335008129055068,0.13197530068909083,0.03729562288842644,0.02446576706462142,0.03548117185869563,0.038057457614006626,0.02754445234348674,0.02889301716141738,-0.07346148525227529,0.00164065008065459,0.16823637883459977
IN_1_Arr_Seg2_Planned_Mins,0.036109211748618676,0.03898164969803762,0.019649637609917475,-0.02386788070055156,0.012022411868726067,0.009874445381285568,0.562350309841025,0.60837486379807,1.0,0.8642722350780754,0.09457542863354036,0.09575890374283771,0.09276316106899207,0.09567079956376573,-0.07898370466300181,0.0745666824367166,-0.0013569596031649234,-0.003623036287018431,0.01682020686674814,0.012904935596517843,0.02995442006135421,0.019430983721205417,0.12355301166799902,0.13904489909748022,0.21074138598949368,0.16016061111843818,0.030412053700647566,0.0247419334755734,0.05911640136554019,0.01664672573320741,-0.026978717302022254,0.024928282487348775,0.00046064758316485664,-0.0043829392970959925,0.02003690669224866,0.032002973267428056,-0.00643276408694499,-0.01492773535193626,0.07416463774306521,0.07940186812695693,0.11410713431446129,0.09311917831374052,-0.012056304448785004,-0.012820972556607779,-0.0028854244150354784,-0.0009384736695789899,-0.002889102080467446,0.01650399666263736,0.018740950604893915,0.02695996651647814,0.1381268439346652,-0.012769612371683987,-0.011011573896580154,-0.02611660859831735,0.0392873349154909,-0.028280459959579906,0.0736793515921313,0.07406813271146447,0.10421164604467045,0.14229588798667175,0.1363991697466389,0.12588921304570294,0.017326869929741317,0.009269715984999824,0.02223002896472969,0.02696601504583229,0.014457333124764788,0.030058371286359225,-0.12700700714441787,-0.007427596699937365,0.15287172113316894
IN_1_Arr_Seg2_Effective_Mins,0.019438761959705803,0.023099450940642238,0.025183725842645468,-0.028143850880648875,0.00664661275332182,0.008391992043849213,0.5410482788547832,0.5721918297043062,0.8642722350780754,1.0,0.10006513644398335,0.08453732693970102,0.12917977731109773,0.12301676688103962,-0.06220238233371764,0.06488017798113692,-0.004780041700307588,-0.007043863182220184,-0.005756357619959466,0.009337339472477849,-0.015560334038042974,-0.006794698501699448,0.09229784030521536,0.09895638688311445,0.1501326479612019,0.12259973646979817,0.011365838629002561,0.007580674465702102,0.029850569216184945,0.007982138906816788,-0.030570781302363206,0.019221486745125298,-0.004073549712236491,-0.006483330755537334,0.012242622787494838,0.014071288949363561,-0.023088915310628528,-0.02011609530148369,0.06146395169477639,0.06809025748254098,0.1060652873109466,0.08575841124125556,-0.011953042682816566,-0.013092193540968198,-0.014788469244043468,-0.014874034074390006,-0.009610611590616559,0.01070682291515857,0.019895149681618863,0.02641382351285479,0.07098218418235767,-0.01685882143903076,-0.012263513263014864,-0.026065655533477505,0.025205959308333185,-0.03535196730898231,0.06256097500223967,0.06726281055874074,0.08814511825297859,0.11296897681866129,0.11426454020811318,0.1116894090034785,0.01254245918249642,0.0021663265381862548,0.017571149088222937,0.02760427370445533,0.010659850104569994,0.018991011833513743,-0.09226114737867586,0.011858977429248364,0.1367798885971809
